geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA1050	1075	1192963.30001789	0.00786559520553032	0.969361241542868
oprG	gene-PA4067	4164	596080634433.771	0.00792871939085527	0.969361241542868
.	gene-PA1112	1138	2.17457529703455	0.00835724144755268	0.969361241542868
.	gene-PA4659	4791	0.0026915894198127	0.00895708612872492	0.969361241542868
himD	gene-PA3161	3240	27.5341083410606	0.00897778606577204	0.969361241542868
.	gene-PA3732	3826	68.4172909136508	0.0090045587723937	0.969361241542868
.	gene-PA4985	5140	0.0393525339160092	0.00905732516272217	0.969361241542868
.	MSTRG.1918.1	2348	0.124474540642345	0.00928736557098309	0.969361241542868
fgtA	gene-PA1091	1117	0.0200211694622377	0.00974797236752289	0.969361241542868
.	gene-PA5362	5523	308.308879960843	0.0100784892995149	0.969361241542868
.	gene-PA4349	4464	9474.28158983639	0.0103465226708286	0.969361241542868
.	gene-PA3618	3711	134.137057024298	0.0117040568372386	0.969361241542868
.	gene-PA3016	3085	4.91994196536201e-05	0.011932401516727	0.969361241542868
.	gene-PA1684	1720	242.85167770039	0.0120065743856166	0.969361241542868
.	gene-PA1298	1327	0.241935084928957	0.0124316459656602	0.969361241542868
cobU	gene-PA1279	1308	362.848772400072	0.0131811458886791	0.969361241542868
fur	gene-PA4764	4915	55.5457168258385	0.0132415354203819	0.969361241542868
.	gene-PA4440	4558	1745.97698343611	0.0136382570929798	0.969361241542868
.	gene-PA4605	4729	0.00177548764224548	0.0137737821116437	0.969361241542868
pdxJ	gene-PA0773	787	1238.64751865035	0.0139046322441299	0.969361241542868
.	gene-PA4615	4739	0.0732122015724803	0.013910580533056	0.969361241542868
.	gene-PA1420	1450	443.347312726157	0.014129388380324	0.969361241542868
proC	gene-PA0393	398	0.15514304107781	0.0142749978049793	0.969361241542868
.	gene-PA1551	1584	130362.716357648	0.015043309687893	0.969361241542868
.	gene-PA2596	2652	1.55291712439678e-07	0.0150595499328985	0.969361241542868
pslA	gene-PA2231	2278	0.00743258942655893	0.0151149117736198	0.969361241542868
.	gene-PA5324	5485	0.578712078645912	0.0153857019006527	0.969361241542868
.	gene-PA4381	4497	19137655535.862	0.0155054440768252	0.969361241542868
.	gene-PA5462	5629	31.429123530634	0.0169036088697871	0.969361241542868
.	gene-PA4540	4660	267.568387905288	0.0169222352502358	0.969361241542868
phhA	gene-PA0872	889	1472.70101784917	0.0171341219777658	0.969361241542868
.	gene-PA0061	63	2.92524898492803	0.0171817129180079	0.969361241542868
fha1	gene-PA0081	84	4437.25110665161	0.0172922462604548	0.969361241542868
rmlA	gene-PA5163	5319	6.12371984102569	0.0177259962091824	0.969361241542868
.	gene-PA4324	4439	49.7755731830083	0.0178218141487771	0.969361241542868
.	gene-PA3231	3308	1.72143613407922e-09	0.0181436911503401	0.969361241542868
.	gene-PA4341	4456	9.25593249020364e-10	0.0181496225312383	0.969361241542868
prtR	gene-PA0611	619	5502.41058952674	0.0182174399030383	0.969361241542868
ruvA	gene-PA0966	990	3.29434756032124	0.0185394640433123	0.969361241542868
.	gene-PA0557	564	6.74933208491741e-05	0.0188639993254032	0.969361241542868
.	gene-PA0842	858	0.0130885025134558	0.0194244159215833	0.969361241542868
.	gene-PA2223	2270	0.000237963389184679	0.0196932838766064	0.969361241542868
dht	gene-PA0441	446	4.76090165129391e-06	0.0200438610272706	0.969361241542868
.	rna-PA4690.2	4829	5.74172740871257e-05	0.0201832989570627	0.969361241542868
.	gene-PA2705	2761	0.0275835577709177	0.0203387204821164	0.969361241542868
mexE	gene-PA2493	2544	292.638313228604	0.0204734065781182	0.969361241542868
.	gene-PA4475	4594	0.000768319684661506	0.0210280305343247	0.969361241542868
.	gene-PA1991	2035	8.70754467898652e-05	0.0214200412853527	0.969361241542868
.	gene-PA1570	1604	45.117020390898	0.0223506649157648	0.969361241542868
tpm	gene-PA2832	2897	1828.90586144737	0.0227937893727195	0.969361241542868
accB	gene-PA4847	4999	225.326026945964	0.0228101959516356	0.969361241542868
gltR	gene-PA3192	3270	1.27903885703629e-07	0.0228235734012259	0.969361241542868
xdhA	gene-PA1524	1556	77737398.153118	0.0234803443883405	0.969361241542868
.	gene-PA3278	3357	831215320294.357	0.0237969146033798	0.969361241542868
.	gene-PA0117	121	13.1723998882949	0.0237972004976488	0.969361241542868
.	gene-PA2714	2770	0.00342828335043378	0.0241124722038196	0.969361241542868
bfiR	gene-PA4196	4295	0.00152649754848734	0.0241275409894007	0.969361241542868
pgi	gene-PA4732	4880	18.3436708243964	0.0241681292546432	0.969361241542868
.	gene-PA3457	3549	12692.7467291933	0.0242602875017969	0.969361241542868
.	gene-PA2332	2382	3353.70693768235	0.0243777271957248	0.969361241542868
.	gene-PA2922	2988	0.00386050248393512	0.0244095733013139	0.969361241542868
pelE	gene-PA3060	3131	1.46213825805865e-08	0.0245562116274876	0.969361241542868
.	gene-PA4637a	4771	0.000717431914660411	0.0247497133287753	0.969361241542868
.	gene-PA3428	3513	3.65089237288939e-06	0.0248899240134952	0.969361241542868
.	gene-PA0938	961	0.00134024042747583	0.0250012205433253	0.969361241542868
.	gene-PA5474	5641	6563651.61074267	0.0261506448387373	0.969361241542868
.	gene-PA1741	1777	56298.2453763751	0.0265070273659345	0.969361241542868
.	gene-PA5543	5708	2.67925788476107e-07	0.026699937696097	0.969361241542868
atuD	gene-PA2889	2955	3.73335545336887e-05	0.0269865059874586	0.969361241542868
.	gene-PA2986	3055	338.534335771731	0.0270406920356276	0.969361241542868
.	gene-PA3025	3094	167.079853479032	0.027167887769709	0.969361241542868
.	gene-PA3956	4054	1886.68501025684	0.0276622289495008	0.969361241542868
.	gene-PA2126	2171	3241.26785303814	0.0277528886806941	0.969361241542868
.	gene-PA0071	74	0.00546783590460401	0.0277701206756806	0.969361241542868
.	gene-PA2075	2119	0.00167209375694723	0.0279179548215578	0.969361241542868
nosD	gene-PA3393	3477	26707.6322754055	0.0279920472185067	0.969361241542868
aguA	gene-PA0292	296	2.97496129329626	0.028070120691756	0.969361241542868
.	gene-PA4330	4445	88.3339585444892	0.0280723434161367	0.969361241542868
.	gene-PA3631	3725	2336.45377628228	0.028091827924198	0.969361241542868
.	gene-PA4520	4639	2.42457574732783e-07	0.0281401200868916	0.969361241542868
.	gene-PA1316	1345	527.462615350732	0.0281432042536994	0.969361241542868
.	gene-PA1497	1529	10443.1609699476	0.0281613817675235	0.969361241542868
.	MSTRG.3876.3	4751	5.8097766286313e-06	0.0284291617761642	0.969361241542868
.	gene-PA3311	3393	0.000202554969627598	0.0286680126947765	0.969361241542868
bioA	gene-PA0420	425	51.4472275253738	0.0298386412006577	0.969361241542868
.	gene-PA3173	3251	15.4387836685293	0.0300329990532338	0.969361241542868
ccpR	gene-PA4587	4711	2643352992.92131	0.0302157006367154	0.969361241542868
.	gene-PA4791	4942	1076.12233244642	0.030912228850373	0.969361241542868
prpD	gene-PA0792	807	5.9850649545183e-18	0.0311742040133334	0.969361241542868
.	gene-PA5371	5537	235.097365195619	0.0313183272550002	0.969361241542868
nuoG	gene-PA2642	2699	37.6209311223487	0.0315007418943219	0.969361241542868
nalD	gene-PA3574	3665	1.07056260155131e-05	0.0320718718130273	0.969361241542868
hisJ	gene-PA2923	2989	0.0462237445610513	0.0322696072440776	0.969361241542868
oprP	gene-PA3279	3358	5.00964986212709e-05	0.0323321704202415	0.969361241542868
ambD	gene-PA2303	2352	2.29405360407486e-05	0.0326001422021633	0.969361241542868
.	gene-PA2100	2144	53.1855589496715	0.0328016023807201	0.969361241542868
.	gene-PA5231	5390	2732504.05829183	0.0328524367923255	0.969361241542868
.	gene-PA1916	1962	0.000154439525892821	0.0330441580550883	0.969361241542868
.	gene-PA1965	2009	1512079.02099995	0.0334266541800134	0.969361241542868
lasA	gene-PA1871	1917	564.156567737816	0.0341090527937937	0.969361241542868
cupA2	gene-PA2129	2174	1988.63876991967	0.0341858397859935	0.969361241542868
pilG	gene-PA0408	413	58569.2713382174	0.0345486224376002	0.969361241542868
.	gene-PA4690a	4827	3.32203312665392e-09	0.0346621964899965	0.969361241542868
cyoC	gene-PA1319	1348	2049377.12889008	0.0348329328757819	0.969361241542868
.	gene-PA4692	4834	52.1899887982159	0.0349816014456663	0.969361241542868
.	gene-PA5122	5276	337.911458411976	0.0360728050421029	0.969361241542868
.	gene-PA0942	965	15.3151837150155	0.036344336955265	0.969361241542868
cupB6	gene-PA4081	4178	0.0277739180516333	0.0368665038406497	0.969361241542868
.	gene-PA1302	1331	12.6380697129846	0.0373138515362832	0.969361241542868
moaB1	gene-PA3915	4012	203.714599343948	0.0374462501724365	0.969361241542868
pgl	gene-PA3182	3260	5.55002594265351e-05	0.0375082435492519	0.969361241542868
.	gene-PA2276	2322	5692.19301257717	0.0377306099035307	0.969361241542868
.	gene-PA4361	4477	0.110994802161109	0.0378946108968161	0.969361241542868
.	gene-PA1308	1337	121.424295243997	0.0379664702200688	0.969361241542868
.	gene-PA3260	3337	38.8323618637596	0.0383065526389621	0.969361241542868
.	gene-PA3190	3268	4.70292840355512e-07	0.0386088850992835	0.969361241542868
.	gene-PA2209	2256	8.56275760130891e-07	0.0386812022534455	0.969361241542868
.	gene-PA0100	104	0.0165373181706119	0.0388146183699106	0.969361241542868
lpdV	gene-PA2250	2296	3.17136855148214e-12	0.03939558670697	0.969361241542868
.	gene-PA2878	2944	0.000376780340180492	0.0394082695478155	0.969361241542868
anr	gene-PA1544	1577	20.6644375103603	0.0394196152774433	0.969361241542868
.	gene-PA1235	1264	1009.4568758477	0.0394476094019696	0.969361241542868
aroP2	gene-PA0866	883	1.79385981391414e-12	0.0396592944542404	0.969361241542868
.	gene-PA0880	897	1.9989788996586e-07	0.039664277751785	0.969361241542868
.	gene-PA2895	2961	0.00302165209648599	0.0398908836048728	0.969361241542868
hflK	gene-PA4942	5095	6.50543184632565e-20	0.0400543144123895	0.969361241542868
.	gene-PA0372	377	1.87368605137742e-05	0.0413759339893564	0.969361241542868
serA	gene-PA0316	321	8.60358780282898	0.041628687696284	0.969361241542868
hcnA	gene-PA2193	2238	1929734304.50369	0.0420128098318802	0.969361241542868
.	gene-PA1197	1226	28922.4144295727	0.0424577002635714	0.969361241542868
ccoP2	gene-PA1555	1590	8008311571.44378	0.0424937389912294	0.969361241542868
.	gene-PA3200	3278	327254792569.743	0.0429180634328572	0.969361241542868
rcpC	gene-PA4305	4417	24.8622626771355	0.0430311279338265	0.969361241542868
.	gene-PA3762	3857	2093.48040474308	0.0430846310086672	0.969361241542868
glpF	gene-PA3581	3673	39673.1517661172	0.0431207883489313	0.969361241542868
clpP	gene-PA1801	1844	16.334270556151	0.0432312116366828	0.969361241542868
thrS	gene-PA2744	2798	3.11826703415289	0.0433551746763017	0.969361241542868
.	gene-PA0776	790	0.000200669534317858	0.0433843737590579	0.969361241542868
.	gene-PA0457	462	7.91555468647392	0.0448011959986757	0.969361241542868
pilR	gene-PA4547	4670	421.924444165043	0.0448123174480267	0.969361241542868
.	gene-PA3084	3155	14.5470912819187	0.0448493766362829	0.969361241542868
.	gene-PA2813	2875	52.8008076889179	0.0451275969639714	0.969361241542868
.	gene-PA2327	2377	3.49424148752283e-06	0.0454315121340658	0.969361241542868
.	gene-PA1133	1161	9531.00186872124	0.045534100641155	0.969361241542868
.	gene-PA3309	3391	13764310480.0179	0.045536903760837	0.969361241542868
.	gene-PA3252	3329	8.86849856605647e-09	0.0456884939336156	0.969361241542868
.	gene-PA0575	583	1.12280178047541e-05	0.0460954072059211	0.969361241542868
.	gene-PA5149	5303	0.0241919030311839	0.0465022396074362	0.969361241542868
.	gene-PA3605	3697	0.104183042004331	0.0471138569896318	0.969361241542868
.	gene-PA2523	2574	66.5825951575254	0.0473865740744539	0.969361241542868
.	gene-PA2814	2876	228.686347793133	0.0473994716201487	0.969361241542868
.	gene-PA4685	4821	7610684801550.43	0.0474264000595974	0.969361241542868
fdx1	gene-PA0362	367	7.85286193885626	0.0474932461258564	0.969361241542868
acpP	gene-PA2966	3034	12.709491398772	0.0481732771440351	0.969361241542868
recN	gene-PA4763	4914	8.6261605003328	0.0484185821045131	0.969361241542868
.	gene-PA2569	2622	0.0743440425935267	0.0489123240093734	0.969361241542868
serS	gene-PA2612	2669	2.19208787356436	0.0489162058258604	0.969361241542868
aruF	gene-PA0896	914	0.000631913874922525	0.0494679852202935	0.969361241542868
